frase1,fol1,frase2,fol2,relacion
no todo actor amargo acuerda ,-all x.((ACTOR(x) & AMARGO(x)) -> ACORDAR(x)), algún actor amargo no acuerda,exists x.(ACTOR(x) & AMARGO(x) & -ACORDAR(x)),1
no todo actor amplio acuerda ,-all x.((ACTOR(x) & AMPLIO(x)) -> ACORDAR(x)), algún actor amplio no acuerda,exists x.(ACTOR(x) & AMPLIO(x) & -ACORDAR(x)),1
no todo actor amarillo acuerda ,-all x.((ACTOR(x) & AMARILLO(x)) -> ACORDAR(x)), algún actor amarillo no acuerda,exists x.(ACTOR(x) & AMARILLO(x) & -ACORDAR(x)),1
no todo actor alegre aguanta ,-all x.((ACTOR(x) & ALEGRE(x)) -> AGUANTAR(x)), algún actor alegre no aguanta,exists x.(ACTOR(x) & ALEGRE(x) & -AGUANTAR(x)),1
no todo actor alto aguanta ,-all x.((ACTOR(x) & ALTO(x)) -> AGUANTAR(x)), algún actor alto no aguanta,exists x.(ACTOR(x) & ALTO(x) & -AGUANTAR(x)),1
no todo actor amargo aguanta ,-all x.((ACTOR(x) & AMARGO(x)) -> AGUANTAR(x)), algún actor amargo no aguanta,exists x.(ACTOR(x) & AMARGO(x) & -AGUANTAR(x)),1
no todo actor amplio aguanta ,-all x.((ACTOR(x) & AMPLIO(x)) -> AGUANTAR(x)), algún actor amplio no aguanta,exists x.(ACTOR(x) & AMPLIO(x) & -AGUANTAR(x)),1
no todo actor amarillo aguanta ,-all x.((ACTOR(x) & AMARILLO(x)) -> AGUANTAR(x)), algún actor amarillo no aguanta,exists x.(ACTOR(x) & AMARILLO(x) & -AGUANTAR(x)),1
no todo actor alegre ama ,-all x.((ACTOR(x) & ALEGRE(x)) -> AMAR(x)), algún actor alegre no ama,exists x.(ACTOR(x) & ALEGRE(x) & -AMAR(x)),1
no todo actor alto ama ,-all x.((ACTOR(x) & ALTO(x)) -> AMAR(x)), algún actor alto no ama,exists x.(ACTOR(x) & ALTO(x) & -AMAR(x)),1
no todo actor amargo ama ,-all x.((ACTOR(x) & AMARGO(x)) -> AMAR(x)), algún actor amargo no ama,exists x.(ACTOR(x) & AMARGO(x) & -AMAR(x)),1
no todo actor amplio ama ,-all x.((ACTOR(x) & AMPLIO(x)) -> AMAR(x)), algún actor amplio no ama,exists x.(ACTOR(x) & AMPLIO(x) & -AMAR(x)),1
no todo actor amarillo ama ,-all x.((ACTOR(x) & AMARILLO(x)) -> AMAR(x)), algún actor amarillo no ama,exists x.(ACTOR(x) & AMARILLO(x) & -AMAR(x)),1
no todo actor alegre amanece ,-all x.((ACTOR(x) & ALEGRE(x)) -> AMANECER(x)), algún actor alegre no amanece,exists x.(ACTOR(x) & ALEGRE(x) & -AMANECER(x)),1
no todo actor alto amanece ,-all x.((ACTOR(x) & ALTO(x)) -> AMANECER(x)), algún actor alto no amanece,exists x.(ACTOR(x) & ALTO(x) & -AMANECER(x)),1
no todo actor amargo amanece ,-all x.((ACTOR(x) & AMARGO(x)) -> AMANECER(x)), algún actor amargo no amanece,exists x.(ACTOR(x) & AMARGO(x) & -AMANECER(x)),1
no todo actor amplio amanece ,-all x.((ACTOR(x) & AMPLIO(x)) -> AMANECER(x)), algún actor amplio no amanece,exists x.(ACTOR(x) & AMPLIO(x) & -AMANECER(x)),1
no todo actor amarillo amanece ,-all x.((ACTOR(x) & AMARILLO(x)) -> AMANECER(x)), algún actor amarillo no amanece,exists x.(ACTOR(x) & AMARILLO(x) & -AMANECER(x)),1
no todo actor alegre anochece ,-all x.((ACTOR(x) & ALEGRE(x)) -> ANOCHECER(x)), algún actor alegre no anochece,exists x.(ACTOR(x) & ALEGRE(x) & -ANOCHECER(x)),1
no todo actor alto anochece ,-all x.((ACTOR(x) & ALTO(x)) -> ANOCHECER(x)), algún actor alto no anochece,exists x.(ACTOR(x) & ALTO(x) & -ANOCHECER(x)),1
no todo actor amargo anochece ,-all x.((ACTOR(x) & AMARGO(x)) -> ANOCHECER(x)), algún actor amargo no anochece,exists x.(ACTOR(x) & AMARGO(x) & -ANOCHECER(x)),1
no todo actor amplio anochece ,-all x.((ACTOR(x) & AMPLIO(x)) -> ANOCHECER(x)), algún actor amplio no anochece,exists x.(ACTOR(x) & AMPLIO(x) & -ANOCHECER(x)),1
no todo actor amarillo anochece ,-all x.((ACTOR(x) & AMARILLO(x)) -> ANOCHECER(x)), algún actor amarillo no anochece,exists x.(ACTOR(x) & AMARILLO(x) & -ANOCHECER(x)),1
no todo agujero alegre acuerda ,-all x.((AGUJERO(x) & ALEGRE(x)) -> ACORDAR(x)), algún agujero alegre no acuerda,exists x.(AGUJERO(x) & ALEGRE(x) & -ACORDAR(x)),1
no todo agujero alto acuerda ,-all x.((AGUJERO(x) & ALTO(x)) -> ACORDAR(x)), algún agujero alto no acuerda,exists x.(AGUJERO(x) & ALTO(x) & -ACORDAR(x)),1
no todo agujero amargo acuerda ,-all x.((AGUJERO(x) & AMARGO(x)) -> ACORDAR(x)), algún agujero amargo no acuerda,exists x.(AGUJERO(x) & AMARGO(x) & -ACORDAR(x)),1
no todo agujero amplio acuerda ,-all x.((AGUJERO(x) & AMPLIO(x)) -> ACORDAR(x)), algún agujero amplio no acuerda,exists x.(AGUJERO(x) & AMPLIO(x) & -ACORDAR(x)),1
no todo agujero amarillo acuerda ,-all x.((AGUJERO(x) & AMARILLO(x)) -> ACORDAR(x)), algún agujero amarillo no acuerda,exists x.(AGUJERO(x) & AMARILLO(x) & -ACORDAR(x)),1
no todo agujero alegre aguanta ,-all x.((AGUJERO(x) & ALEGRE(x)) -> AGUANTAR(x)), algún agujero alegre no aguanta,exists x.(AGUJERO(x) & ALEGRE(x) & -AGUANTAR(x)),1
no todo agujero alto aguanta ,-all x.((AGUJERO(x) & ALTO(x)) -> AGUANTAR(x)), algún agujero alto no aguanta,exists x.(AGUJERO(x) & ALTO(x) & -AGUANTAR(x)),1
no todo agujero amargo aguanta ,-all x.((AGUJERO(x) & AMARGO(x)) -> AGUANTAR(x)), algún agujero amargo no aguanta,exists x.(AGUJERO(x) & AMARGO(x) & -AGUANTAR(x)),1
no todo agujero amplio aguanta ,-all x.((AGUJERO(x) & AMPLIO(x)) -> AGUANTAR(x)), algún agujero amplio no aguanta,exists x.(AGUJERO(x) & AMPLIO(x) & -AGUANTAR(x)),1
no todo agujero amarillo aguanta ,-all x.((AGUJERO(x) & AMARILLO(x)) -> AGUANTAR(x)), algún agujero amarillo no aguanta,exists x.(AGUJERO(x) & AMARILLO(x) & -AGUANTAR(x)),1
no todo agujero alegre ama ,-all x.((AGUJERO(x) & ALEGRE(x)) -> AMAR(x)), algún agujero alegre no ama,exists x.(AGUJERO(x) & ALEGRE(x) & -AMAR(x)),1
no todo agujero alto ama ,-all x.((AGUJERO(x) & ALTO(x)) -> AMAR(x)), algún agujero alto no ama,exists x.(AGUJERO(x) & ALTO(x) & -AMAR(x)),1
no todo agujero amargo ama ,-all x.((AGUJERO(x) & AMARGO(x)) -> AMAR(x)), algún agujero amargo no ama,exists x.(AGUJERO(x) & AMARGO(x) & -AMAR(x)),1
no todo agujero amplio ama ,-all x.((AGUJERO(x) & AMPLIO(x)) -> AMAR(x)), algún agujero amplio no ama,exists x.(AGUJERO(x) & AMPLIO(x) & -AMAR(x)),1
no todo agujero amarillo ama ,-all x.((AGUJERO(x) & AMARILLO(x)) -> AMAR(x)), algún agujero amarillo no ama,exists x.(AGUJERO(x) & AMARILLO(x) & -AMAR(x)),1
no todo agujero alegre amanece ,-all x.((AGUJERO(x) & ALEGRE(x)) -> AMANECER(x)), algún agujero alegre no amanece,exists x.(AGUJERO(x) & ALEGRE(x) & -AMANECER(x)),1
no todo agujero alto amanece ,-all x.((AGUJERO(x) & ALTO(x)) -> AMANECER(x)), algún agujero alto no amanece,exists x.(AGUJERO(x) & ALTO(x) & -AMANECER(x)),1
no todo agujero amargo amanece ,-all x.((AGUJERO(x) & AMARGO(x)) -> AMANECER(x)), algún agujero amargo no amanece,exists x.(AGUJERO(x) & AMARGO(x) & -AMANECER(x)),1
no todo agujero amplio amanece ,-all x.((AGUJERO(x) & AMPLIO(x)) -> AMANECER(x)), algún agujero amplio no amanece,exists x.(AGUJERO(x) & AMPLIO(x) & -AMANECER(x)),1
no todo agujero amarillo amanece ,-all x.((AGUJERO(x) & AMARILLO(x)) -> AMANECER(x)), algún agujero amarillo no amanece,exists x.(AGUJERO(x) & AMARILLO(x) & -AMANECER(x)),1
no todo agujero alegre anochece ,-all x.((AGUJERO(x) & ALEGRE(x)) -> ANOCHECER(x)), algún agujero alegre no anochece,exists x.(AGUJERO(x) & ALEGRE(x) & -ANOCHECER(x)),1
no todo agujero alto anochece ,-all x.((AGUJERO(x) & ALTO(x)) -> ANOCHECER(x)), algún agujero alto no anochece,exists x.(AGUJERO(x) & ALTO(x) & -ANOCHECER(x)),1
no todo agujero amargo anochece ,-all x.((AGUJERO(x) & AMARGO(x)) -> ANOCHECER(x)), algún agujero amargo no anochece,exists x.(AGUJERO(x) & AMARGO(x) & -ANOCHECER(x)),1
no todo agujero amplio anochece ,-all x.((AGUJERO(x) & AMPLIO(x)) -> ANOCHECER(x)), algún agujero amplio no anochece,exists x.(AGUJERO(x) & AMPLIO(x) & -ANOCHECER(x)),1
no todo agujero amarillo anochece ,-all x.((AGUJERO(x) & AMARILLO(x)) -> ANOCHECER(x)), algún agujero amarillo no anochece,exists x.(AGUJERO(x) & AMARILLO(x) & -ANOCHECER(x)),1
no todo albañil alegre acuerda ,-all x.((ALBAÑIL(x) & ALEGRE(x)) -> ACORDAR(x)), algún albañil alegre no acuerda,exists x.(ALBAÑIL(x) & ALEGRE(x) & -ACORDAR(x)),1
no todo albañil alto acuerda ,-all x.((ALBAÑIL(x) & ALTO(x)) -> ACORDAR(x)), algún albañil alto no acuerda,exists x.(ALBAÑIL(x) & ALTO(x) & -ACORDAR(x)),1
no todo albañil amargo acuerda ,-all x.((ALBAÑIL(x) & AMARGO(x)) -> ACORDAR(x)), algún albañil amargo no acuerda,exists x.(ALBAÑIL(x) & AMARGO(x) & -ACORDAR(x)),1
no todo albañil amplio acuerda ,-all x.((ALBAÑIL(x) & AMPLIO(x)) -> ACORDAR(x)), algún albañil amplio no acuerda,exists x.(ALBAÑIL(x) & AMPLIO(x) & -ACORDAR(x)),1
no todo albañil amarillo acuerda ,-all x.((ALBAÑIL(x) & AMARILLO(x)) -> ACORDAR(x)), algún albañil amarillo no acuerda,exists x.(ALBAÑIL(x) & AMARILLO(x) & -ACORDAR(x)),1
no todo albañil alegre aguanta ,-all x.((ALBAÑIL(x) & ALEGRE(x)) -> AGUANTAR(x)), algún albañil alegre no aguanta,exists x.(ALBAÑIL(x) & ALEGRE(x) & -AGUANTAR(x)),1
no todo albañil alto aguanta ,-all x.((ALBAÑIL(x) & ALTO(x)) -> AGUANTAR(x)), algún albañil alto no aguanta,exists x.(ALBAÑIL(x) & ALTO(x) & -AGUANTAR(x)),1
no todo albañil amargo aguanta ,-all x.((ALBAÑIL(x) & AMARGO(x)) -> AGUANTAR(x)), algún albañil amargo no aguanta,exists x.(ALBAÑIL(x) & AMARGO(x) & -AGUANTAR(x)),1
no todo albañil amplio aguanta ,-all x.((ALBAÑIL(x) & AMPLIO(x)) -> AGUANTAR(x)), algún albañil amplio no aguanta,exists x.(ALBAÑIL(x) & AMPLIO(x) & -AGUANTAR(x)),1
no todo albañil amarillo aguanta ,-all x.((ALBAÑIL(x) & AMARILLO(x)) -> AGUANTAR(x)), algún albañil amarillo no aguanta,exists x.(ALBAÑIL(x) & AMARILLO(x) & -AGUANTAR(x)),1
no todo albañil alegre ama ,-all x.((ALBAÑIL(x) & ALEGRE(x)) -> AMAR(x)), algún albañil alegre no ama,exists x.(ALBAÑIL(x) & ALEGRE(x) & -AMAR(x)),1
no todo albañil alto ama ,-all x.((ALBAÑIL(x) & ALTO(x)) -> AMAR(x)), algún albañil alto no ama,exists x.(ALBAÑIL(x) & ALTO(x) & -AMAR(x)),1
no todo albañil amargo ama ,-all x.((ALBAÑIL(x) & AMARGO(x)) -> AMAR(x)), algún albañil amargo no ama,exists x.(ALBAÑIL(x) & AMARGO(x) & -AMAR(x)),1
no todo albañil amplio ama ,-all x.((ALBAÑIL(x) & AMPLIO(x)) -> AMAR(x)), algún albañil amplio no ama,exists x.(ALBAÑIL(x) & AMPLIO(x) & -AMAR(x)),1
no todo albañil amarillo ama ,-all x.((ALBAÑIL(x) & AMARILLO(x)) -> AMAR(x)), algún albañil amarillo no ama,exists x.(ALBAÑIL(x) & AMARILLO(x) & -AMAR(x)),1
no todo albañil alegre amanece ,-all x.((ALBAÑIL(x) & ALEGRE(x)) -> AMANECER(x)), algún albañil alegre no amanece,exists x.(ALBAÑIL(x) & ALEGRE(x) & -AMANECER(x)),1
no todo albañil alto amanece ,-all x.((ALBAÑIL(x) & ALTO(x)) -> AMANECER(x)), algún albañil alto no amanece,exists x.(ALBAÑIL(x) & ALTO(x) & -AMANECER(x)),1
no todo albañil amargo amanece ,-all x.((ALBAÑIL(x) & AMARGO(x)) -> AMANECER(x)), algún albañil amargo no amanece,exists x.(ALBAÑIL(x) & AMARGO(x) & -AMANECER(x)),1
no todo albañil amplio amanece ,-all x.((ALBAÑIL(x) & AMPLIO(x)) -> AMANECER(x)), algún albañil amplio no amanece,exists x.(ALBAÑIL(x) & AMPLIO(x) & -AMANECER(x)),1
no todo albañil amarillo amanece ,-all x.((ALBAÑIL(x) & AMARILLO(x)) -> AMANECER(x)), algún albañil amarillo no amanece,exists x.(ALBAÑIL(x) & AMARILLO(x) & -AMANECER(x)),1
no todo albañil alegre anochece ,-all x.((ALBAÑIL(x) & ALEGRE(x)) -> ANOCHECER(x)), algún albañil alegre no anochece,exists x.(ALBAÑIL(x) & ALEGRE(x) & -ANOCHECER(x)),1
no todo albañil alto anochece ,-all x.((ALBAÑIL(x) & ALTO(x)) -> ANOCHECER(x)), algún albañil alto no anochece,exists x.(ALBAÑIL(x) & ALTO(x) & -ANOCHECER(x)),1
no todo albañil amargo anochece ,-all x.((ALBAÑIL(x) & AMARGO(x)) -> ANOCHECER(x)), algún albañil amargo no anochece,exists x.(ALBAÑIL(x) & AMARGO(x) & -ANOCHECER(x)),1
no todo albañil amplio anochece ,-all x.((ALBAÑIL(x) & AMPLIO(x)) -> ANOCHECER(x)), algún albañil amplio no anochece,exists x.(ALBAÑIL(x) & AMPLIO(x) & -ANOCHECER(x)),1
no todo albañil amarillo anochece ,-all x.((ALBAÑIL(x) & AMARILLO(x)) -> ANOCHECER(x)), algún albañil amarillo no anochece,exists x.(ALBAÑIL(x) & AMARILLO(x) & -ANOCHECER(x)),1
no todo alce alegre acuerda ,-all x.((ALCER(x) & ALEGRE(x)) -> ACORDAR(x)), algún alce alegre no acuerda,exists x.(ALCER(x) & ALEGRE(x) & -ACORDAR(x)),1
no todo alce alto acuerda ,-all x.((ALCER(x) & ALTO(x)) -> ACORDAR(x)), algún alce alto no acuerda,exists x.(ALCER(x) & ALTO(x) & -ACORDAR(x)),1
no todo alce amargo acuerda ,-all x.((ALCER(x) & AMARGO(x)) -> ACORDAR(x)), algún alce amargo no acuerda,exists x.(ALCER(x) & AMARGO(x) & -ACORDAR(x)),1
no todo alce amplio acuerda ,-all x.((ALCER(x) & AMPLIO(x)) -> ACORDAR(x)), algún alce amplio no acuerda,exists x.(ALCER(x) & AMPLIO(x) & -ACORDAR(x)),1
no todo alce amarillo acuerda ,-all x.((ALCER(x) & AMARILLO(x)) -> ACORDAR(x)), algún alce amarillo no acuerda,exists x.(ALCER(x) & AMARILLO(x) & -ACORDAR(x)),1
no todo alce alegre aguanta ,-all x.((ALCER(x) & ALEGRE(x)) -> AGUANTAR(x)), algún alce alegre no aguanta,exists x.(ALCER(x) & ALEGRE(x) & -AGUANTAR(x)),1
no todo alce alto aguanta ,-all x.((ALCER(x) & ALTO(x)) -> AGUANTAR(x)), algún alce alto no aguanta,exists x.(ALCER(x) & ALTO(x) & -AGUANTAR(x)),1
no todo alce amargo aguanta ,-all x.((ALCER(x) & AMARGO(x)) -> AGUANTAR(x)), algún alce amargo no aguanta,exists x.(ALCER(x) & AMARGO(x) & -AGUANTAR(x)),1
no todo alce amplio aguanta ,-all x.((ALCER(x) & AMPLIO(x)) -> AGUANTAR(x)), algún alce amplio no aguanta,exists x.(ALCER(x) & AMPLIO(x) & -AGUANTAR(x)),1
no todo alce amarillo aguanta ,-all x.((ALCER(x) & AMARILLO(x)) -> AGUANTAR(x)), algún alce amarillo no aguanta,exists x.(ALCER(x) & AMARILLO(x) & -AGUANTAR(x)),1
no todo alce alegre ama ,-all x.((ALCER(x) & ALEGRE(x)) -> AMAR(x)), algún alce alegre no ama,exists x.(ALCER(x) & ALEGRE(x) & -AMAR(x)),1
no todo alce alto ama ,-all x.((ALCER(x) & ALTO(x)) -> AMAR(x)), algún alce alto no ama,exists x.(ALCER(x) & ALTO(x) & -AMAR(x)),1
no todo alce amargo ama ,-all x.((ALCER(x) & AMARGO(x)) -> AMAR(x)), algún alce amargo no ama,exists x.(ALCER(x) & AMARGO(x) & -AMAR(x)),1
no todo alce amplio ama ,-all x.((ALCER(x) & AMPLIO(x)) -> AMAR(x)), algún alce amplio no ama,exists x.(ALCER(x) & AMPLIO(x) & -AMAR(x)),1
no todo alce amarillo ama ,-all x.((ALCER(x) & AMARILLO(x)) -> AMAR(x)), algún alce amarillo no ama,exists x.(ALCER(x) & AMARILLO(x) & -AMAR(x)),1
no todo alce alegre amanece ,-all x.((ALCER(x) & ALEGRE(x)) -> AMANECER(x)), algún alce alegre no amanece,exists x.(ALCER(x) & ALEGRE(x) & -AMANECER(x)),1
no todo alce alto amanece ,-all x.((ALCER(x) & ALTO(x)) -> AMANECER(x)), algún alce alto no amanece,exists x.(ALCER(x) & ALTO(x) & -AMANECER(x)),1
no todo alce amargo amanece ,-all x.((ALCER(x) & AMARGO(x)) -> AMANECER(x)), algún alce amargo no amanece,exists x.(ALCER(x) & AMARGO(x) & -AMANECER(x)),1
no todo alce amplio amanece ,-all x.((ALCER(x) & AMPLIO(x)) -> AMANECER(x)), algún alce amplio no amanece,exists x.(ALCER(x) & AMPLIO(x) & -AMANECER(x)),1
no todo alce amarillo amanece ,-all x.((ALCER(x) & AMARILLO(x)) -> AMANECER(x)), algún alce amarillo no amanece,exists x.(ALCER(x) & AMARILLO(x) & -AMANECER(x)),1
no todo alce alegre anochece ,-all x.((ALCER(x) & ALEGRE(x)) -> ANOCHECER(x)), algún alce alegre no anochece,exists x.(ALCER(x) & ALEGRE(x) & -ANOCHECER(x)),1
no todo alce alto anochece ,-all x.((ALCER(x) & ALTO(x)) -> ANOCHECER(x)), algún alce alto no anochece,exists x.(ALCER(x) & ALTO(x) & -ANOCHECER(x)),1
no todo alce amargo anochece ,-all x.((ALCER(x) & AMARGO(x)) -> ANOCHECER(x)), algún alce amargo no anochece,exists x.(ALCER(x) & AMARGO(x) & -ANOCHECER(x)),1
no todo alce amplio anochece ,-all x.((ALCER(x) & AMPLIO(x)) -> ANOCHECER(x)), algún alce amplio no anochece,exists x.(ALCER(x) & AMPLIO(x) & -ANOCHECER(x)),1
no todo alce amarillo anochece ,-all x.((ALCER(x) & AMARILLO(x)) -> ANOCHECER(x)), algún alce amarillo no anochece,exists x.(ALCER(x) & AMARILLO(x) & -ANOCHECER(x)),1
no todo abuelo alegre acuerda y aguanta ,-all x.((ABUELO(x) & ALEGRE(x)) -> (ACORDAR(x) & AGUANTAR(x))), algún abuelo alegre no acuerda o no aguanta,exists x.(ABUELO(x) & ALEGRE(x) & (-ACORDAR(x) | -AGUANTAR(x))),1
no todo abuelo alegre acuerda y ama ,-all x.((ABUELO(x) & ALEGRE(x)) -> (ACORDAR(x) & AMAR(x))), algún abuelo alegre no acuerda o no ama,exists x.(ABUELO(x) & ALEGRE(x) & (-ACORDAR(x) | -AMAR(x))),1
no todo abuelo alegre acuerda y amanece ,-all x.((ABUELO(x) & ALEGRE(x)) -> (ACORDAR(x) & AMANECER(x))), algún abuelo alegre no acuerda o no amanece,exists x.(ABUELO(x) & ALEGRE(x) & (-ACORDAR(x) | -AMANECER(x))),1
no todo abuelo alegre acuerda y anochece ,-all x.((ABUELO(x) & ALEGRE(x)) -> (ACORDAR(x) & ANOCHECER(x))), algún abuelo alegre no acuerda o no anochece,exists x.(ABUELO(x) & ALEGRE(x) & (-ACORDAR(x) | -ANOCHECER(x))),1
no todo abuelo alto acuerda y aguanta ,-all x.((ABUELO(x) & ALTO(x)) -> (ACORDAR(x) & AGUANTAR(x))), algún abuelo alto no acuerda o no aguanta,exists x.(ABUELO(x) & ALTO(x) & (-ACORDAR(x) | -AGUANTAR(x))),1
no todo abuelo alto acuerda y ama ,-all x.((ABUELO(x) & ALTO(x)) -> (ACORDAR(x) & AMAR(x))), algún abuelo alto no acuerda o no ama,exists x.(ABUELO(x) & ALTO(x) & (-ACORDAR(x) | -AMAR(x))),1
no todo abuelo alto acuerda y amanece ,-all x.((ABUELO(x) & ALTO(x)) -> (ACORDAR(x) & AMANECER(x))), algún abuelo alto no acuerda o no amanece,exists x.(ABUELO(x) & ALTO(x) & (-ACORDAR(x) | -AMANECER(x))),1
no todo abuelo alto acuerda y anochece ,-all x.((ABUELO(x) & ALTO(x)) -> (ACORDAR(x) & ANOCHECER(x))), algún abuelo alto no acuerda o no anochece,exists x.(ABUELO(x) & ALTO(x) & (-ACORDAR(x) | -ANOCHECER(x))),1
no todo abuelo amargo acuerda y aguanta ,-all x.((ABUELO(x) & AMARGO(x)) -> (ACORDAR(x) & AGUANTAR(x))), algún abuelo amargo no acuerda o no aguanta,exists x.(ABUELO(x) & AMARGO(x) & (-ACORDAR(x) | -AGUANTAR(x))),1
no todo abuelo amargo acuerda y ama ,-all x.((ABUELO(x) & AMARGO(x)) -> (ACORDAR(x) & AMAR(x))), algún abuelo amargo no acuerda o no ama,exists x.(ABUELO(x) & AMARGO(x) & (-ACORDAR(x) | -AMAR(x))),1
no todo abuelo amargo acuerda y amanece ,-all x.((ABUELO(x) & AMARGO(x)) -> (ACORDAR(x) & AMANECER(x))), algún abuelo amargo no acuerda o no amanece,exists x.(ABUELO(x) & AMARGO(x) & (-ACORDAR(x) | -AMANECER(x))),1
